SGDS_test_err,SGDS_training_err,SGDS_training_loss
0.6547000000000001,0.7412000000000001,2.010603106956482
0.5381,0.58528,1.5606941669082641
0.47650000000000003,0.47931999999999997,1.3102921553230287
0.3889,0.38670000000000004,1.082955252609253
0.34930000000000005,0.32733999999999996,0.9304776029586792
0.31510000000000005,0.28715999999999997,0.8162678570175171
0.27280000000000004,0.25107999999999997,0.7146796798706054
0.29569999999999996,0.22046,0.636200663318634
0.25660000000000005,0.20331999999999995,0.5831948594856262
0.22999999999999998,0.19021999999999994,0.5544099375534057
0.21389999999999998,0.18172,0.5276102607917785
0.19830000000000003,0.17335999999999996,0.506137043132782
0.2198,0.16620000000000001,0.48439760597229004
0.20499999999999996,0.16135999999999995,0.4711907398414612
0.17079999999999995,0.16000000000000003,0.46223930057525636
0.21589999999999998,0.15258000000000005,0.44834005043029784
0.22409999999999997,0.15161999999999998,0.4408678341960907
0.18320000000000003,0.14639999999999997,0.4248697515487671
0.2288,0.14388,0.4196268416213989
0.24139999999999995,0.14054,0.4127526461315155
0.20109999999999995,0.13798,0.4064592091941833
0.18779999999999997,0.13856000000000002,0.4062099641990662
0.16159999999999997,0.13370000000000004,0.39822366871833803
0.15339999999999998,0.13083999999999996,0.38741035373687743
0.19369999999999998,0.13312000000000002,0.38632478200912473
0.15649999999999997,0.129,0.37664245331764223
0.14159999999999995,0.13024000000000002,0.3808426507663727
0.17830000000000001,0.12653999999999999,0.37460978165626524
0.17410000000000003,0.1251,0.3725599380683899
0.15980000000000005,0.12561999999999995,0.3706692063140869
0.1552,0.12348000000000003,0.3599188830184937
0.14970000000000006,0.12463999999999997,0.3642692680549622
0.16990000000000005,0.12450000000000006,0.3610728849315643
0.15090000000000003,0.12131999999999998,0.3557121099090576
0.16810000000000003,0.12161999999999995,0.354002788734436
0.1623,0.11846000000000001,0.34764295062065126
0.14790000000000003,0.12104000000000004,0.35102456691741946
0.19289999999999996,0.119,0.34839920400619506
0.17049999999999998,0.11831999999999998,0.34500393228530885
0.2046,0.11914000000000002,0.3487987024307251
0.18730000000000002,0.11628000000000005,0.34229292119026183
0.17679999999999996,0.11558000000000002,0.3401850280761719
0.1493,0.11448000000000003,0.33683263295173643
0.14200000000000002,0.11863999999999997,0.3461857093715668
0.15100000000000002,0.11517999999999995,0.3413411848258972
0.20179999999999998,0.11434,0.33461151472091677
0.16820000000000002,0.11287999999999998,0.3355436078166962
0.17779999999999996,0.11417999999999995,0.33441329851150514
0.1633,0.11363999999999996,0.33315524297714233
0.16769999999999996,0.11631999999999998,0.3377546692085266
0.16800000000000004,0.11319999999999997,0.33141261054039
0.15680000000000005,0.11151999999999995,0.3277912828683853
0.16659999999999997,0.11402000000000001,0.3310695571517944
0.18320000000000003,0.11362000000000005,0.3327842597579956
0.16259999999999997,0.11404000000000003,0.32996045570373533
0.15200000000000002,0.11287999999999998,0.33390499970436094
0.19110000000000005,0.11146,0.3288627597618103
0.19889999999999997,0.10880000000000001,0.3210076615905762
0.19530000000000003,0.11275999999999997,0.3303008647823334
0.22850000000000004,0.11175999999999997,0.324932776184082
0.16210000000000002,0.11138000000000003,0.32590592878341673
0.18779999999999997,0.10919999999999996,0.32275243757247923
0.1754,0.11002,0.3238192192840576
0.19689999999999996,0.10909999999999997,0.32107158088684085
0.17769999999999997,0.10980000000000001,0.3222729170417786
0.14,0.10962000000000005,0.3262496552085876
0.15280000000000005,0.10906000000000005,0.32175165665626526
0.1563,0.10912,0.32243953862190244
0.14249999999999996,0.10821999999999998,0.3160699182701111
0.1502,0.10968,0.3227789099788666
0.2318,0.10872000000000004,0.32501424001693724
0.17900000000000005,0.10987999999999998,0.3255807071399689
0.15380000000000005,0.10921999999999998,0.32036062136650084
0.18920000000000003,0.10782000000000003,0.3194047306346893
0.16369999999999996,0.10918000000000005,0.321142582244873
0.16969999999999996,0.10968,0.32125004097938537
0.1482,0.10963999999999996,0.31834687198638917
0.1844,0.10648000000000002,0.31435360887527464
0.16090000000000004,0.11021999999999998,0.3204965986919403
0.14049999999999996,0.10877999999999999,0.32082057235717776
0.0686,0.054220000000000046,0.1639845134973526
0.06469999999999998,0.03915999999999997,0.11770875513792038
0.061799999999999966,0.03271999999999997,0.09889853021860123
0.06120000000000003,0.028000000000000025,0.08577528918325901
0.06289999999999996,0.024660000000000015,0.0755217438352108
0.061000000000000054,0.02202000000000004,0.06726997921228409
0.06159999999999999,0.019519999999999982,0.060018246281147006
0.06030000000000002,0.018979999999999997,0.057447278027534486
0.060699999999999976,0.01627999999999996,0.049931964128017425
0.06059999999999999,0.015619999999999967,0.04675429307222366
0.06000000000000005,0.01307999999999998,0.04117080044746399
0.06579999999999997,0.011560000000000015,0.03727004354715347
0.06169999999999998,0.011759999999999993,0.03693681580334902
0.0615,0.010399999999999965,0.034684653238356115
0.060799999999999965,0.01095999999999997,0.033487557980418206
0.06040000000000001,0.010619999999999963,0.032934613679647444
0.06369999999999998,0.010340000000000016,0.033494562509059904
0.06710000000000005,0.010820000000000052,0.033065837790369985
0.060899999999999954,0.010159999999999947,0.032047016822099685
0.06559999999999999,0.01088,0.03427797820210457
0.06820000000000004,0.010279999999999956,0.03201824586451053
0.06720000000000004,0.009759999999999991,0.03145981344401837
0.06440000000000001,0.010000000000000009,0.031764955686330795
0.0655,0.010739999999999972,0.03340128451108933
0.06640000000000001,0.012179999999999969,0.03699665420770645
0.06479999999999997,0.011780000000000013,0.03495351203739643
0.06589999999999996,0.011099999999999999,0.03467840301811695
0.07150000000000001,0.012619999999999965,0.03871549059510231
0.06710000000000005,0.012639999999999985,0.0381817121553421
0.0695,0.011580000000000035,0.03693622441828251
0.07169999999999999,0.013000000000000012,0.038202278361916545
0.0695,0.011360000000000037,0.03557288901031017
0.06399999999999995,0.012279999999999958,0.03852394997298717
0.06699999999999995,0.013020000000000032,0.040409955086112025
0.06910000000000005,0.011440000000000006,0.03580326103925705
0.07230000000000003,0.013539999999999996,0.04297031879901886
0.07830000000000004,0.01432,0.0424716558778286
0.07330000000000003,0.014719999999999955,0.04481589583039284
0.06899999999999995,0.013299999999999979,0.04155861378669739
0.07740000000000002,0.014560000000000017,0.04598484415531159
0.07569999999999999,0.015680000000000027,0.048181465713977814
0.07040000000000002,0.014440000000000008,0.04550126085221767
0.07240000000000002,0.014719999999999955,0.04305611741542816
0.0786,0.01648000000000005,0.04893342535734176
0.07579999999999998,0.01417999999999997,0.04460975716471672
0.07850000000000001,0.015100000000000002,0.04565676539182663
0.07179999999999997,0.015920000000000045,0.04784991497635841
0.0776,0.014480000000000048,0.0438945433139801
0.08089999999999997,0.014460000000000028,0.04448022505640983
0.07579999999999998,0.015800000000000036,0.04722281200170517
0.07440000000000002,0.016880000000000006,0.05078256737947464
0.07499999999999996,0.014920000000000044,0.04494678429722786
0.07410000000000005,0.017360000000000042,0.05034267270565033
0.07330000000000003,0.015660000000000007,0.04825706097304821
0.07499999999999996,0.013719999999999954,0.04234571105480194
0.07330000000000003,0.016140000000000043,0.047683569781184196
0.07289999999999996,0.015900000000000025,0.048441778717041015
0.07450000000000001,0.015499999999999958,0.04716266114354133
0.07620000000000005,0.016159999999999952,0.049110159834623336
0.07840000000000003,0.01627999999999996,0.04908789047956467
0.07179999999999997,0.01436000000000004,0.044786065073609355
0.07679999999999998,0.01649999999999996,0.04826471741080284
0.07389999999999997,0.015580000000000038,0.04730616171479225
0.08279999999999998,0.016220000000000012,0.049806232081651684
0.07520000000000004,0.016000000000000014,0.04814579940199852
0.07250000000000001,0.01632,0.048693111493587495
0.07150000000000001,0.01629999999999998,0.049086019798517226
0.07399999999999995,0.015719999999999956,0.047874489637613295
0.0756,0.01536000000000004,0.04681635943293572
0.07199999999999995,0.013979999999999992,0.043610214539170265
0.07799999999999996,0.014880000000000004,0.045811621817350386
0.07540000000000002,0.012939999999999952,0.040488508039712906
0.07020000000000004,0.015880000000000005,0.04788018689990044
0.07199999999999995,0.015240000000000031,0.046085294454097744
0.07299999999999995,0.016220000000000012,0.0480545666539669
0.07430000000000003,0.016140000000000043,0.04823364304408431
0.08209999999999995,0.014939999999999953,0.04585927107572556
0.07399999999999995,0.015199999999999991,0.04611615234136581
0.07220000000000004,0.01646000000000003,0.048514301402568814
0.07469999999999999,0.01541999999999999,0.04683287517786026
0.05689999999999995,0.005839999999999956,0.021276839518547058
0.05379999999999996,0.0031400000000000317,0.011860343683809041
0.05359999999999998,0.0021200000000000108,0.009540336794853211
0.05410000000000004,0.0017000000000000348,0.007765768705010414
0.0524,0.0012199999999999989,0.006853345012664795
0.051899999999999946,0.0009400000000000519,0.005831737522482872
0.05169999999999997,0.0009400000000000519,0.005497875661253929
0.051100000000000034,0.0007200000000000539,0.00486450225353241
0.050799999999999956,0.00046000000000001595,0.004108202636539936
0.051000000000000045,0.0005800000000000249,0.004566200511306524
0.050799999999999956,0.0008599999999999719,0.004372494771331548
0.0504,0.00046000000000001595,0.003982638554275036
0.05059999999999998,0.00038000000000004697,0.003698999180942774
0.050899999999999945,0.00046000000000001595,0.0036209240567684174
0.0504,0.00036000000000002697,0.0032114664024859665
0.050000000000000044,0.00038000000000004697,0.0032796259578317406
0.05010000000000003,9.999999999998899e-05,0.0029351402428746225
0.049699999999999966,0.00017999999999995797,0.002890531600266695
0.049000000000000044,0.00027999999999994696,0.00289841189712286
0.050000000000000044,0.00019999999999997797,0.0027749223569780586
0.04959999999999998,0.00041999999999997595,0.0030732009351253507
0.04949999999999999,0.000260000000000038,0.0028030238841474054
0.05069999999999997,0.00038000000000004697,0.0029751100026071072
0.0494,0.00012000000000000899,0.002529764234572649
0.04949999999999999,0.00034000000000000696,0.0026566652416065337
0.04930000000000001,0.000260000000000038,0.0027348824223130943
0.04849999999999999,0.00021999999999999797,0.0025838539478182793
0.0494,0.00019999999999997797,0.0025382372279465198
0.0484,0.000160000000000049,0.002591585748195648
0.04930000000000001,0.00021999999999999797,0.002515347770601511
0.04930000000000001,0.000160000000000049,0.002374346036091447
0.04859999999999998,0.000140000000000029,0.002268636728450656
0.049699999999999966,0.000160000000000049,0.002353170619942248
0.04910000000000003,0.00012000000000000899,0.002210740758366883
0.05030000000000001,0.000140000000000029,0.0022638264989852906
0.049699999999999966,9.999999999998899e-05,0.0022430861193686725
0.048900000000000055,0.00017999999999995797,0.0022375086499005557
0.050000000000000044,0.00012000000000000899,0.0021102972327917816
0.050000000000000044,9.999999999998899e-05,0.0021482466128468513
0.048699999999999966,9.999999999998899e-05,0.002052526550143957
